idx,Category,Freq,Term,Total,loglift,logprob
458,Default,1001.0,italiano,1001.0,30.0,30.0
278,Default,457.0,dispaccio,457.0,29.0,29.0
995,Default,341.0,venire,341.0,28.0,28.0
456,Default,504.0,italia,504.0,27.0,27.0
384,Default,311.0,giornale,311.0,26.0,26.0
918,Default,393.0,telegrafico,393.0,25.0,25.0
3345,Default,260.0,cardinale,260.0,24.0,24.0
238,Default,330.0,daily,330.0,23.0,23.0
802,Default,450.0,roma,450.0,22.0,22.0
687,Default,358.0,potere,358.0,21.0,21.0
50,Default,184.0,americano,184.0,20.0,20.0
594,Default,187.0,nome,187.0,19.0,19.0
608,Default,210.0,nuovo,210.0,18.0,18.0
90,Default,120.0,avvenire,120.0,17.0,17.0
602,Default,144.0,notizia,144.0,16.0,16.0
951,Default,178.0,trovare,178.0,15.0,15.0
457,Default,145.0,italian,145.0,14.0,14.0
647,Default,153.0,patrio,153.0,13.0,13.0
240,Default,193.0,dare,193.0,12.0,12.0
616,Default,144.0,operare,144.0,11.0,11.0
974,Default,130.0,unito,130.0,10.0,10.0
531,Default,223.0,mentire,223.0,9.0,9.0
403,Default,147.0,grande,147.0,8.0,8.0
365,Default,135.0,francese,135.0,7.0,7.0
326,Default,83.0,estero,83.0,6.0,6.0
508,Default,148.0,maggio,148.0,5.0,5.0
1463,Default,165.0,leggere,165.0,4.0,4.0
648,Default,116.0,patrizio,116.0,3.0,3.0
225,Default,120.0,correre,120.0,2.0,2.0
270,Default,229.0,dire,229.0,1.0,1.0
9296,Topic1,1.9906683,rovere,3.7294106,0.51419997215271,-9.929699897766113
26250,Topic1,3.6651936,xlll,7.443747,0.4334999918937683,-9.319299697875977
24152,Topic1,10.33701,papato,20.99435,0.4334999918937683,-8.282400131225586
21504,Topic1,46.28462,conclave,94.59219,0.42719998955726624,-6.783400058746338
23022,Topic1,1.6955829,placidamente,3.53381,0.4075999855995178,-10.090100288391113
10917,Topic1,1.7083315,battito,3.5977917,0.39719998836517334,-10.0826997756958
16564,Topic1,0.8126121,apsaalo,1.713612,0.39590001106262207,-10.825699806213379
23057,Topic1,1.2309239,tettoia,2.6084714,0.39100000262260437,-10.410400390625
6814,Topic1,4.1326146,dipartimento,8.822861,0.38350000977516174,-9.199299812316895
16645,Topic1,0.8102973,hontoomkpr,1.7307487,0.3831000030040741,-10.828499794006348
4396,Topic1,3.1822004,rubare,6.801675,0.3824000060558319,-9.460599899291992
8179,Topic1,2.476957,valparaiso,5.316378,0.3781999945640564,-9.711099624633789
26569,Topic1,1.1991534,arcades,2.574667,0.37790000438690186,-10.436599731445312
23397,Topic1,1.2451446,oriunda,2.6781301,0.37610000371932983,-10.398900032043457
15109,Topic1,3.2863011,remare,7.070326,0.3758000135421753,-9.428400039672852
24237,Topic1,1.1844553,voialtri,2.5514803,0.37459999322891235,-10.44890022277832
26239,Topic1,0.81491,teficc,1.7556208,0.37450000643730164,-10.822799682617188
917,Topic1,18.59881,tato,40.152374,0.3723999857902527,-7.695099830627441
16650,Topic1,0.79426074,inat,1.71549,0.3718999922275543,-10.84850025177002
9162,Topic1,1.6365646,labbro,3.5348017,0.3718999922275543,-10.12559986114502
16751,Topic1,0.8043417,tctrobarga,1.7379733,0.3714999854564667,-10.83590030670166
26240,Topic1,0.82230735,terizzò,1.7783849,0.37059998512268066,-10.813799858093262
16628,Topic1,0.800898,fciocktou,1.7340163,0.3695000112056732,-10.840200424194336
16671,Topic1,1.2359871,maln,2.6807294,0.3677999973297119,-10.406299591064453
16684,Topic1,0.7941007,naoque,1.7236613,0.367000013589859,-10.848699569702148
21195,Topic1,2.1379309,coole,4.6472263,0.36550000309944153,-9.85830020904541
16735,Topic1,0.78931326,rlcoacl,1.7189147,0.3637000024318695,-10.8548002243042
14135,Topic1,1.2067804,perfido,2.6370199,0.3603000044822693,-10.43019962310791
16697,Topic1,0.78141594,ooaaorte,1.7085754,0.3596999943256378,-10.864800453186035
